iter	Passed	Remaining
0	54	54038
1	54	27259
2	55	18326
3	55	13891
4	56	11210
5	56	9427
6	57	8145
7	58	7200
8	59	6500
9	59	5932
10	60	5441
11	61	5030
12	61	4678
13	62	4374
14	62	4121
15	63	3889
16	63	3684
17	64	3503
18	64	3341
19	65	3194
20	65	3062
21	66	2942
22	66	2833
23	67	2733
24	67	2640
25	68	2554
26	68	2474
27	69	2400
28	69	2331
29	70	2266
30	70	2207
31	71	2151
32	71	2098
33	72	2049
34	72	2009
35	73	1967
36	73	1924
37	74	1884
38	75	1848
39	75	1812
40	75	1776
41	76	1744
42	76	1713
43	77	1683
44	77	1654
45	78	1626
46	78	1600
47	79	1575
48	79	1551
49	80	1528
50	80	1505
51	81	1483
52	81	1463
53	82	1442
54	82	1423
55	83	1404
56	83	1386
57	84	1369
58	84	1352
59	85	1336
60	85	1320
61	86	1304
62	86	1290
63	87	1282
64	88	1270
65	88	1257
66	89	1243
67	89	1230
68	90	1218
69	90	1205
70	91	1193
71	91	1181
72	92	1170
73	92	1159
74	93	1148
75	93	1137
76	94	1127
77	94	1118
78	95	1108
79	95	1098
80	96	1089
81	96	1080
82	96	1068
83	97	1060
84	97	1052
85	98	1043
86	98	1035
87	99	1028
88	99	1020
89	100	1012
90	100	1005
91	101	998
92	101	991
93	102	987
94	103	981
95	103	974
96	103	968
97	104	961
98	104	955
99	105	948
100	105	942
101	106	936
102	106	930
103	107	925
104	107	919
105	108	913
106	108	908
107	109	902
108	109	897
109	110	891
110	110	886
111	111	881
112	111	876
113	112	871
114	112	866
115	113	861
116	113	856
117	113	851
118	114	847
119	114	842
120	115	838
121	115	833
122	116	829
123	116	824
124	117	822
125	118	819
126	118	814
127	119	810
128	119	807
129	120	804
130	120	800
131	121	797
132	121	794
133	122	790
134	122	787
135	123	784
136	124	781
137	124	778
138	125	775
139	125	772
140	126	769
141	126	764
142	127	761
143	127	758
144	128	755
145	128	752
146	129	749
147	129	746
148	130	743
149	130	740
150	131	737
151	131	734
152	132	731
153	132	728
154	133	727
155	133	724
156	134	721
157	134	718
158	135	716
159	135	713
160	136	709
161	136	706
162	137	704
163	137	701
164	138	699
165	138	696
166	139	694
167	139	692
168	140	689
169	140	687
170	141	685
171	141	682
172	142	680
173	142	678
174	143	675
175	143	673
176	144	670
177	144	668
178	145	666
179	145	663
180	146	661
181	146	659
182	147	657
183	147	655
184	148	654
185	148	651
186	149	649
187	149	647
188	150	645
189	150	643
190	151	641
191	151	639
192	152	637
193	152	635
194	153	633
195	153	631
196	154	630
197	155	628
198	155	626
199	156	624
200	156	622
201	157	620
202	157	618
203	158	616
204	158	614
205	158	612
206	159	610
207	159	609
208	160	607
209	160	605
210	161	603
211	161	601
212	162	600
213	163	599
214	163	597
215	164	595
216	164	594
217	165	592
218	165	590
219	166	588
220	166	587
221	167	585
222	167	583
223	168	582
224	168	580
225	169	578
226	169	577
227	170	575
228	170	574
229	171	572
230	171	570
231	172	569
232	172	567
233	173	566
234	173	565
235	174	563
236	174	562
237	175	560
238	175	559
239	176	557
240	176	556
241	177	554
242	177	553
243	178	552
244	178	550
245	179	550
246	180	549
247	180	547
248	181	546
249	181	544
250	182	543
251	182	542
252	183	540
253	183	539
254	184	538
255	184	537
256	185	535
257	185	534
258	186	533
259	186	531
260	187	530
261	187	529
262	188	527
263	188	526
264	189	525
265	189	523
266	190	522
267	190	521
268	191	519
269	191	518
270	192	518
271	193	517
272	193	516
273	194	514
274	194	513
275	195	512
276	195	511
277	196	509
278	196	508
279	197	507
280	197	506
281	198	504
282	198	503
283	199	502
284	199	501
285	200	500
286	200	498
287	201	497
288	201	496
289	202	495
290	202	494
291	203	492
292	203	491
293	204	490
294	204	489
295	205	488
296	205	487
297	206	485
298	206	484
299	207	484
300	207	482
301	208	481
302	209	480
303	209	479
304	210	478
305	210	477
306	211	476
307	211	475
308	212	474
309	212	473
310	213	471
311	213	470
312	213	469
313	214	468
314	214	467
315	215	466
316	216	465
317	216	464
318	217	463
319	217	462
320	217	461
321	218	460
322	219	459
323	219	458
324	220	457
325	220	455
326	221	454
327	221	453
328	222	453
329	223	453
330	223	452
331	224	451
332	224	450
333	225	449
334	225	448
335	226	447
336	226	446
337	227	445
338	227	444
339	228	443
340	228	442
341	229	441
342	229	440
343	230	438
344	230	437
345	231	436
346	231	435
347	232	434
348	232	433
349	233	432
350	233	432
351	234	431
352	234	430
353	235	429
354	235	428
355	236	427
356	236	426
357	237	425
358	238	425
359	238	424
360	239	423
361	239	422
362	240	421
363	240	420
364	241	419
365	241	418
366	242	417
367	242	416
368	243	416
369	243	415
370	244	414
371	244	413
372	245	412
373	245	411
374	246	410
375	246	409
376	247	408
377	247	407
378	248	406
379	248	405
380	249	404
381	249	403
382	250	402
383	250	401
384	251	400
385	251	400
386	252	399
387	252	398
388	253	397
389	253	396
390	254	395
391	254	395
392	255	394
393	255	393
394	256	392
395	256	391
396	257	390
397	257	389
398	258	388
399	258	387
400	258	386
401	259	386
402	259	385
403	260	384
404	260	383
405	261	382
406	261	381
407	262	380
408	262	379
409	263	378
410	263	377
411	264	377
412	264	376
413	265	375
414	265	374
415	266	373
416	266	372
417	267	372
418	267	371
419	268	370
420	268	369
421	269	369
422	269	368
423	270	367
424	270	366
425	271	365
426	271	364
427	272	364
428	272	363
429	273	362
430	274	361
431	274	360
432	274	360
433	275	359
434	275	358
435	276	357
436	276	356
437	277	356
438	277	355
439	278	354
440	278	353
441	279	352
442	279	351
